,sample_id,As,Ba,Ca,Cu,Fe,K,Mn,Mo,P,Pb,Rb,Sr,Ti,U,V,Zn,Nb,Y,La,Nd,comments
15,GR1-009,14.0,554.0,10000.0,18.5,35800.0,11910.0,1070.0,11.93,930.0,35.1,71.4,323.0,3890.0,2.4000000000000004,75.2,178.5,16.1,14.8,48.0,23.400000000000002,
17,GR1-013,21.8,393.0,18600.0,18.5,44000.0,6160.0,2690.0,1.24,1570.0,101.30000000000001,44.1,1094.0,4980.0,8.5,102.2,204.5,34.6,23.5,77.0,21.0,
18,TE2-005,22.900000000000002,622.0,9700.0,25.6,51600.0,14610.0,20120.0,25.88,1430.0,169.70000000000002,138.6,301.0,5550.0,14.4,176.9,318.5,329.40000000000003,44.6,84.0,30.3,
19,TE2-018,24.700000000000003,250.0,21300.0,59.0,28200.0,1390.0,2160.0,8.5,850.0,86.60000000000001,44.7,469.0,2330.0,15.3,60.900000000000006,256.0,33.300000000000004,52.5,63.0,20.3,
20,TE2-024,6.7,475.0,8400.0,12.3,33200.0,10910.0,290.0,1.24,730.0,14.3,44.7,304.0,3360.0,2.4000000000000004,51.400000000000006,40.0,16.1,11.600000000000001,10.0,12.4,
22,GR1-015,15.8,522.0,21300.0,10.9,62600.0,12480.0,1740.0,3.4,1540.0,38.2,88.60000000000001,1220.0,9410.0,9.5,168.9,186.8,98.60000000000001,38.2,58.0,22.900000000000002,
25,TE2-020F,3.7,522.0,14900.0,29.6,30800.0,14690.0,1040.0,1.24,980.0,31.900000000000002,61.900000000000006,428.0,3210.0,7.800000000000001,79.9,101.10000000000001,24.200000000000003,26.0,31.0,18.900000000000002,
26,GR1-007,22.900000000000002,290.0,21400.0,21.6,75400.0,7000.0,1080.0,4.64,2090.0,127.30000000000001,43.900000000000006,646.0,10550.0,7.4,222.9,269.0,90.10000000000001,40.800000000000004,53.0,23.6,
27,TE2-011,20.6,435.0,8500.0,15.0,43000.0,10390.0,510.0,13.39,860.0,50.5,62.300000000000004,260.0,4690.0,4.800000000000001,83.10000000000001,79.4,35.6,17.1,29.0,16.400000000000002,
28,TE2-003,12.200000000000001,483.0,11700.0,22.200000000000003,43600.0,10060.0,1230.0,3.92,980.0,36.1,55.800000000000004,434.0,4870.0,8.5,105.4,120.60000000000001,36.4,27.8,30.0,16.8,
29,GR1-014,24.1,464.0,24600.0,14.0,56000.0,10900.0,790.0,1.24,1760.0,63.0,91.5,1796.0,10220.0,16.1,142.70000000000002,143.70000000000002,107.0,38.2,64.0,25.1,
33,TE2-006,17.0,611.0,14200.0,13.700000000000001,32800.0,12060.0,1810.0,8.39,1190.0,31.1,68.3,458.0,4290.0,2.4000000000000004,94.2,125.60000000000001,26.6,28.700000000000003,41.0,17.0,
35,TE2-014,22.900000000000002,423.0,18700.0,23.700000000000003,36300.0,8140.0,5340.0,82.60000000000001,1530.0,37.2,78.4,590.0,3690.0,25.6,307.1,289.1,73.8,338.70000000000005,327.0,32.6,
36,TE2-008,5.9,554.0,10400.0,11.0,26600.0,13250.0,370.0,1.24,830.0,31.5,58.300000000000004,346.0,3050.0,2.4000000000000004,51.400000000000006,64.5,12.100000000000001,7.800000000000001,28.0,19.400000000000002,
37,TE2-010,17.0,363.0,29900.0,15.3,79300.0,11400.0,1610.0,20.67,1680.0,56.800000000000004,74.3,657.0,13130.0,2.4000000000000004,246.8,220.4,197.4,45.900000000000006,75.0,19.1,
38,TE2-004,4.800000000000001,614.0,10900.0,9.200000000000001,25300.0,14270.0,1210.0,24.310000000000002,870.0,24.900000000000002,74.60000000000001,385.0,3140.0,2.4000000000000004,60.900000000000006,96.4,28.0,21.1,32.0,26.900000000000002,
39,TE2-012,14.600000000000001,504.0,11300.0,14.3,38100.0,12080.0,5070.0,57.51,960.0,74.5,70.3,330.0,4810.0,2.4000000000000004,132.4,184.3,28.0,35.2,63.0,27.1,
40,TE2-007,27.700000000000003,268.0,12500.0,47.800000000000004,66600.0,8080.0,2260.0,6.21,1330.0,73.4,70.8,300.0,10180.0,2.4000000000000004,210.20000000000002,238.0,147.20000000000002,34.9,38.0,25.700000000000003,
42,TE2-020,8.700000000000001,521.0,14500.0,33.1,32900.0,13730.0,1130.0,1.24,1030.0,39.800000000000004,66.4,409.0,3300.0,2.4000000000000004,87.9,117.80000000000001,26.6,24.6,49.0,21.900000000000002,
45,GR1-021,6.0,568.0,15600.0,16.8,25700.0,14060.0,1020.0,7.3500000000000005,1100.0,26.8,64.10000000000001,456.0,3880.0,2.4000000000000004,76.80000000000001,85.4,46.800000000000004,36.7,63.0,30.1,
50,GR1-023,22.900000000000002,317.0,22400.0,22.8,79300.0,6870.0,1330.0,2.67,2480.0,61.6,59.300000000000004,916.0,11690.0,9.200000000000001,208.60000000000002,153.3,148.20000000000002,52.7,85.0,24.8,
51,TE2-044,32.4,584.0,22900.0,18.2,63200.0,10640.0,1710.0,2.88,1680.0,119.7,73.0,1337.0,14660.0,7.800000000000001,237.20000000000002,170.9,140.5,30.3,61.0,28.6,
52,GR1-008,37.2,450.0,14000.0,32.6,38300.0,8090.0,2960.0,1.24,1130.0,208.4,56.400000000000006,429.0,5350.0,9.200000000000001,143.5,180.10000000000002,56.300000000000004,23.200000000000003,42.0,16.6,
53,TE2-033,6.300000000000001,426.0,21400.0,15.700000000000001,60300.0,7440.0,2280.0,1.24,2340.0,33.7,41.7,1072.0,9460.0,5.300000000000001,181.60000000000002,206.10000000000002,65.5,47.6,69.0,22.700000000000003,
54,GR1-030F,30.1,455.0,14600.0,27.0,38900.0,8520.0,2120.0,1.9000000000000001,940.0,174.4,94.4,703.0,4140.0,11.3,138.70000000000002,210.3,153.70000000000002,34.6,74.0,20.1,
55,TE2-016,9.9,461.0,15500.0,19.1,32100.0,8200.0,710.0,1.24,890.0,30.6,58.300000000000004,467.0,3210.0,5.1000000000000005,65.7,113.9,60.900000000000006,23.5,38.0,26.3,
56,GR1-020,7.1000000000000005,504.0,7900.0,6.7,25200.0,9650.0,210.0,9.85,320.0,29.0,43.1,351.0,3400.0,2.4000000000000004,32.300000000000004,17.1,22.700000000000003,5.2,41.0,18.900000000000002,
57,GR1-016,19.400000000000002,401.0,11200.0,23.0,34800.0,11550.0,3140.0,11.1,1100.0,121.60000000000001,100.30000000000001,358.0,4180.0,9.0,92.7,234.60000000000002,131.0,28.0,57.0,18.1,
58,TE2-022,14.600000000000001,526.0,20100.0,15.8,75700.0,14820.0,1780.0,1.24,3470.0,47.800000000000004,95.4,1046.0,12250.0,2.4000000000000004,199.10000000000002,139.0,123.9,37.4,66.0,22.900000000000002,
59,TE2-017,47.900000000000006,204.0,17200.0,46.6,20000.0,1390.0,1620.0,3.29,650.0,166.20000000000002,34.5,568.0,1020.0,32.300000000000004,14.3,210.70000000000002,68.10000000000001,41.900000000000006,43.0,18.3,
60,TE2-043,9.9,717.0,30700.0,29.3,60400.0,11730.0,5480.0,1.24,5800.0,22.400000000000002,95.0,1554.0,9230.0,5.7,205.5,229.60000000000002,64.4,37.300000000000004,55.0,26.900000000000002,
61,GR1-019,14.600000000000001,210.0,2300.0,21.200000000000003,11200.0,1390.0,140.0,10.58,960.0,66.8,17.7,64.0,3320.0,11.700000000000001,32.0,17.1,26.5,41.1,32.0,17.900000000000002,
62,GR1-017,31.3,198.0,5700.0,17.2,49100.0,16370.0,1690.0,5.2700000000000005,1130.0,104.30000000000001,176.8,127.0,2760.0,16.3,56.1,256.40000000000003,319.6,32.1,68.0,17.7,
63,GR1-029,46.7,535.0,20000.0,13.600000000000001,49100.0,10740.0,3220.0,1.24,1150.0,114.10000000000001,82.9,1292.0,4810.0,14.9,191.20000000000002,309.3,256.3,77.9,119.0,22.1,
65,GR1-028,12.200000000000001,170.0,2700.0,10.3,15900.0,1390.0,180.0,4.96,770.0,63.7,22.700000000000003,73.0,3440.0,10.9,48.2,17.1,44.400000000000006,31.900000000000002,46.0,21.0,
66,GR1-034,17.0,369.0,16800.0,11.700000000000001,43200.0,6830.0,410.0,1.24,1330.0,53.6,36.1,686.0,7490.0,6.2,113.30000000000001,74.8,33.300000000000004,19.400000000000002,10.0,24.6,
67,TE2-010F,21.8,342.0,31300.0,15.0,80200.0,8930.0,1790.0,16.3,1680.0,45.300000000000004,69.4,638.0,12860.0,6.5,232.5,243.0,183.4,48.2,62.0,13.5,
68,TE2-002,15.8,411.0,7800.0,13.0,34200.0,8600.0,1450.0,9.85,780.0,64.10000000000001,52.300000000000004,355.0,3770.0,6.2,79.9,201.10000000000002,53.7,19.700000000000003,41.0,19.6,
69,TE2-036,44.900000000000006,340.0,14200.0,27.900000000000002,40500.0,6510.0,370.0,2.63,1140.0,172.10000000000002,38.7,381.0,7920.0,9.4,130.8,124.80000000000001,63.5,26.6,27.0,16.5,
70,GR1-027,1.3,595.0,11200.0,16.3,29400.0,14700.0,630.0,1.24,1020.0,18.6,66.5,345.0,3360.0,2.4000000000000004,64.10000000000001,77.2,15.9,21.1,25.0,29.900000000000002,
71,TE2-021,44.900000000000006,288.0,5100.0,60.800000000000004,17400.0,1390.0,340.0,1.24,910.0,257.40000000000003,33.7,214.0,3010.0,13.9,62.5,145.8,40.0,41.7,47.0,19.1,
76,TE2-023,6.300000000000001,607.0,14900.0,14.0,29300.0,13690.0,2200.0,1.24,990.0,34.7,70.4,376.0,3050.0,2.4000000000000004,65.7,98.0,14.3,16.3,32.0,28.0,
78,GR1-033,58.6,331.0,11800.0,16.7,44900.0,5610.0,340.0,1.24,1290.0,211.20000000000002,32.9,1045.0,6630.0,18.0,92.7,106.5,57.5,22.3,37.0,23.1,
79,TE2-040F,17.6,443.0,5700.0,12.200000000000001,24400.0,7220.0,170.0,1.24,1070.0,89.30000000000001,34.300000000000004,383.0,5320.0,5.300000000000001,63.300000000000004,17.1,31.400000000000002,12.200000000000001,24.0,14.9,
80,GR1-024,14.600000000000001,489.0,7300.0,13.4,31200.0,12010.0,860.0,1.24,990.0,41.7,61.1,305.0,3510.0,2.4000000000000004,51.400000000000006,84.0,14.200000000000001,5.2,10.0,23.400000000000002,
81,TE2-042,27.700000000000003,451.0,24500.0,20.700000000000003,56800.0,5780.0,2170.0,1.24,1680.0,90.60000000000001,33.4,1517.0,7990.0,5.300000000000001,189.60000000000002,182.70000000000002,74.8,52.1,64.0,22.1,
82,GR1-018,28.900000000000002,173.0,10900.0,27.900000000000002,49900.0,5560.0,3570.0,5.79,1210.0,95.80000000000001,71.4,310.0,4950.0,9.4,161.0,427.5,146.9,39.5,99.0,14.5,
83,TE2-045,24.1,556.0,24600.0,21.1,87300.0,8050.0,1520.0,1.24,3500.0,60.300000000000004,38.2,1127.0,16450.0,6.4,280.1,182.70000000000002,99.7,34.4,73.0,21.900000000000002,
84,GR1-022,23.5,576.0,17100.0,29.900000000000002,48000.0,8350.0,4360.0,6.62,1060.0,90.9,90.5,752.0,5770.0,13.3,205.5,234.20000000000002,184.5,58.6,68.0,14.200000000000001,
85,TE2-048,11.100000000000001,366.0,10600.0,18.6,38500.0,6700.0,370.0,2.77,1120.0,57.2,51.900000000000006,506.0,5770.0,8.1,84.7,75.9,34.800000000000004,20.900000000000002,30.0,20.6,
86,TE2-031,18.2,446.0,9700.0,12.0,31700.0,9040.0,380.0,1.24,1230.0,75.0,55.400000000000006,380.0,5020.0,2.4000000000000004,78.4,60.6,34.0,17.7,10.0,21.3,
87,TE2-026,9.9,518.0,14300.0,36.300000000000004,35400.0,16020.0,1570.0,1.24,930.0,40.0,80.0,477.0,3870.0,2.4000000000000004,126.0,121.4,72.4,41.5,83.0,18.3,
88,TE2-025,14.600000000000001,404.0,8100.0,14.4,38500.0,9860.0,950.0,4.23,1060.0,61.400000000000006,60.1,395.0,3980.0,6.9,94.2,113.7,36.2,32.0,44.0,20.0,
89,GR1-030,26.5,446.0,14000.0,29.0,40800.0,9970.0,1420.0,2.32,810.0,117.9,77.4,610.0,4080.0,9.200000000000001,113.30000000000001,224.60000000000002,88.4,31.400000000000002,54.0,20.0,
90,GR1-040F,13.4,362.0,37700.0,19.8,59000.0,1390.0,1110.0,1.24,3220.0,29.3,14.4,2239.0,12070.0,6.5,205.5,131.5,78.7,65.3,108.0,18.5,
91,TE2-013,19.400000000000002,161.0,24200.0,26.400000000000002,86500.0,3310.0,1390.0,5.89,1620.0,48.400000000000006,32.7,498.0,10530.0,5.9,234.10000000000002,312.6,64.60000000000001,27.900000000000002,62.0,15.4,
93,TE2-030,9.9,443.0,10000.0,13.4,38700.0,9380.0,520.0,1.24,1330.0,35.7,58.800000000000004,413.0,4680.0,2.4000000000000004,76.80000000000001,74.10000000000001,31.700000000000003,16.5,50.0,18.900000000000002,
94,GR1-050F,9.9,569.0,11500.0,18.7,19600.0,8180.0,410.0,1.24,970.0,88.30000000000001,49.5,430.0,2990.0,3.9000000000000004,52.1,69.2,16.2,5.2,32.0,18.3,
95,GR1-020F,14.600000000000001,350.0,5500.0,6.800000000000001,30800.0,6250.0,180.0,19.63,320.0,49.5,36.9,266.0,3680.0,9.1,41.800000000000004,52.300000000000004,27.700000000000003,13.600000000000001,47.0,12.8,
96,TE2-015,46.7,343.0,14800.0,24.8,47700.0,5070.0,1740.0,1.24,700.0,149.0,72.7,1060.0,3710.0,24.3,119.7,269.90000000000003,200.60000000000002,58.300000000000004,82.0,19.6,
97,TE2-019,34.800000000000004,276.0,18700.0,51.2,35700.0,4120.0,2240.0,15.88,1080.0,92.80000000000001,56.800000000000004,560.0,2960.0,19.3,86.30000000000001,230.4,65.3,64.8,78.0,22.900000000000002,
98,GR1-040,22.900000000000002,338.0,36400.0,13.4,59000.0,1390.0,1070.0,1.24,3410.0,48.0,15.100000000000001,1953.0,12810.0,2.4000000000000004,237.20000000000002,140.70000000000002,77.10000000000001,58.6,89.0,21.900000000000002,
99,GR1-001,24.700000000000003,674.0,8000.0,28.6,48600.0,7300.0,12840.0,7.4,880.0,111.2,69.8,413.0,4710.0,7.300000000000001,165.70000000000002,290.0,44.6,32.5,57.0,24.3,
103,GR1-002,22.900000000000002,581.0,22900.0,16.6,91800.0,12670.0,3340.0,4.64,1510.0,62.1,142.3,1129.0,10690.0,5.6000000000000005,210.20000000000002,327.70000000000005,126.5,57.300000000000004,105.0,22.3,
107,GR1-012,9.9,497.0,9700.0,357.1,36600.0,12610.0,600.0,4.8500000000000005,1040.0,26.5,69.4,335.0,3690.0,4.2,91.9,139.0,21.5,47.900000000000006,84.0,21.400000000000002,
