Sample ID,Matrix,Mineralization,Source,Analyte,Units,Certified Value,1SD,95% Confidence Low,95% Confidence High,Method
OREAS22d,quartz,N/A,https://www.oreas.com/crm/oreas-22d/,"Ag, Silver (ppm)",(ppm),< 0.100,IND,IND,IND,4-Acid Digestion
OREAS22d,quartz,N/A,https://www.oreas.com/crm/oreas-22d/,"As, Arsenic (ppm)",(ppm),< 1.00,IND,IND,IND,4-Acid Digestion
OREAS22d,quartz,N/A,https://www.oreas.com/crm/oreas-22d/,"Ba, Barium (ppm)",(ppm),6.17,0.63,5.66,6.67,4-Acid Digestion
OREAS22d,quartz,N/A,https://www.oreas.com/crm/oreas-22d/,"Bi, Bismuth (ppm)",(ppm),< 0.10,IND,IND,IND,4-Acid Digestion
OREAS22d,quartz,N/A,https://www.oreas.com/crm/oreas-22d/,"Cd, Cadmium (ppm)",(ppm),< 0.10,IND,IND,IND,4-Acid Digestion
OREAS22d,quartz,N/A,https://www.oreas.com/crm/oreas-22d/,"Co, Cobalt (ppm)",(ppm),0.85,0.071,0.77,0.93,4-Acid Digestion
OREAS22d,quartz,N/A,https://www.oreas.com/crm/oreas-22d/,"Cu, Copper (ppm)",(ppm),9.23,1.34,7.85,10.61,4-Acid Digestion
OREAS22d,quartz,N/A,https://www.oreas.com/crm/oreas-22d/,"Fe, Iron (wt.%)",(wt.%),0.468,0.037,0.432,0.504,4-Acid Digestion
OREAS22d,quartz,N/A,https://www.oreas.com/crm/oreas-22d/,"Mn, Manganese (wt.%)",(wt.%),0.011,0.001,0.009,0.013,4-Acid Digestion
OREAS22d,quartz,N/A,https://www.oreas.com/crm/oreas-22d/,"Mo, Molybdenum (ppm)",(ppm),2.36,0.086,2.28,2.44,4-Acid Digestion
OREAS22d,quartz,N/A,https://www.oreas.com/crm/oreas-22d/,"Nb, Niobium (ppm)",(ppm),0.88,0.081,0.79,0.97,4-Acid Digestion
OREAS22d,quartz,N/A,https://www.oreas.com/crm/oreas-22d/,"Ni, Nickel (ppm)",(ppm),4.38,0.63,4.05,4.7,4-Acid Digestion
OREAS22d,quartz,N/A,https://www.oreas.com/crm/oreas-22d/,"Pb, Lead (ppm)",(ppm),0.72,0.26,0.49,0.95,4-Acid Digestion
OREAS22d,quartz,N/A,https://www.oreas.com/crm/oreas-22d/,"Rb, Rubidium (ppm)",(ppm),0.54,0.06,0.49,0.59,4-Acid Digestion
OREAS24B,granodiorite,N/A,https://www.oreas.com/crm/oreas-24b/,"Ba, Barium (ppm)",(ppm),716,33,690,742,4-Acid Digestion
OREAS24B,granodiorite,N/A,https://www.oreas.com/crm/oreas-24b/,"Bi, Bismuth (ppm)",(ppm),0.68,0.063,0.64,0.72,4-Acid Digestion
OREAS24B,granodiorite,N/A,https://www.oreas.com/crm/oreas-24b/,"Ca, Calcium (wt.%)",(wt.%),1.08,0.04,1.04,1.12,4-Acid Digestion
OREAS24B,granodiorite,N/A,https://www.oreas.com/crm/oreas-24b/,"Ce, Cerium (ppm)",(ppm),84,3.5,81,87,4-Acid Digestion
OREAS24B,granodiorite,N/A,https://www.oreas.com/crm/oreas-24b/,"Co, Cobalt (ppm)",(ppm),16.9,1.19,16.3,17.4,4-Acid Digestion
OREAS24B,granodiorite,N/A,https://www.oreas.com/crm/oreas-24b/,"Cr, Chromium (ppm)",(ppm),118,10,109,127,4-Acid Digestion
OREAS24B,granodiorite,N/A,https://www.oreas.com/crm/oreas-24b/,"Fe, Iron (wt.%)",(wt.%),4.39,0.131,4.27,4.52,4-Acid Digestion
OREAS24B,granodiorite,N/A,https://www.oreas.com/crm/oreas-24b/,"K, Potassium (wt.%)",(wt.%),2.81,0.11,2.72,2.89,4-Acid Digestion
OREAS24B,granodiorite,N/A,https://www.oreas.com/crm/oreas-24b/,"La, Lanthanum (ppm)",(ppm),42.4,2.34,40.4,44.3,4-Acid Digestion
OREAS24B,granodiorite,N/A,https://www.oreas.com/crm/oreas-24b/,"Mg, Magnesium (wt.%)",(wt.%),1.65,0.054,1.59,1.7,4-Acid Digestion
OREAS24B,granodiorite,N/A,https://www.oreas.com/crm/oreas-24b/,"Mn, Manganese (wt.%)",(wt.%),0.044,0.002,0.043,0.046,4-Acid Digestion
OREAS24B,granodiorite,N/A,https://www.oreas.com/crm/oreas-24b/,"Mo, Molybdenum (ppm)",(ppm),4.03,0.357,3.73,4.34,4-Acid Digestion
OREAS24B,granodiorite,N/A,https://www.oreas.com/crm/oreas-24b/,"Nb, Niobium (ppm)",(ppm),14.6,1.29,13.4,15.8,4-Acid Digestion
OREAS24B,granodiorite,N/A,https://www.oreas.com/crm/oreas-24b/,"Ni, Nickel (ppm)",(ppm),60,4.1,57,64,4-Acid Digestion
OREAS24B,granodiorite,N/A,https://www.oreas.com/crm/oreas-24b/,"P, Phosphorus (wt.%)",(wt.%),0.069,0.005,0.065,0.074,4-Acid Digestion
OREAS24B,granodiorite,N/A,https://www.oreas.com/crm/oreas-24b/,"Rb, Rubidium (ppm)",(ppm),164,9,156,171,4-Acid Digestion
OREAS24B,granodiorite,N/A,https://www.oreas.com/crm/oreas-24b/,"S, Sulphur (wt.%)",(wt.%),0.198,0.008,0.191,0.206,4-Acid Digestion
OREAS24B,granodiorite,N/A,https://www.oreas.com/crm/oreas-24b/,"Sb, Antimony (ppm)",(ppm),1,0.045,0.97,1.02,4-Acid Digestion
OREAS24B,granodiorite,N/A,https://www.oreas.com/crm/oreas-24b/,"Sn, Tin (ppm)",(ppm),4.25,0.221,4.06,4.45,4-Acid Digestion
OREAS24B,granodiorite,N/A,https://www.oreas.com/crm/oreas-24b/,"Sr, Strontium (ppm)",(ppm),124,11,115,133,4-Acid Digestion
OREAS24B,granodiorite,N/A,https://www.oreas.com/crm/oreas-24b/,"Ti, Titanium (wt.%)",(wt.%),0.468,0.018,0.447,0.49,4-Acid Digestion
OREAS24B,granodiorite,N/A,https://www.oreas.com/crm/oreas-24b/,"Tl, Thallium (ppm)",(ppm),0.86,0.043,0.81,0.91,4-Acid Digestion
OREAS24B,granodiorite,N/A,https://www.oreas.com/crm/oreas-24b/,"U, Uranium (ppm)",(ppm),3.06,0.093,2.98,3.13,4-Acid Digestion
OREAS24B,granodiorite,N/A,https://www.oreas.com/crm/oreas-24b/,"V, Vanadium (ppm)",(ppm),108,4,104,112,4-Acid Digestion
OREAS24B,granodiorite,N/A,https://www.oreas.com/crm/oreas-24b/,"Y, Yttrium (ppm)",(ppm),19.9,2,17.9,21.8,4-Acid Digestion
OREAS24B,granodiorite,N/A,https://www.oreas.com/crm/oreas-24b/,"Zn, Zinc (ppm)",(ppm),105,6,100,109,4-Acid Digestion
OREAS24B,granodiorite,N/A,https://www.oreas.com/crm/oreas-24b/,"Zr, Zirconium (ppm)",(ppm),134,24,113,156,4-Acid Digestion
OREAS24C,basalt,N/A,https://www.oreas.com/crm/oreas-24c/,"Ag, Silver (ppm)",(ppm),< 0.200,IND,IND,IND,4-Acid Digestion
OREAS24C,basalt,N/A,https://www.oreas.com/crm/oreas-24c/,"As, Arsenic (ppm)",(ppm),< 0.20,IND,IND,IND,4-Acid Digestion
OREAS24C,basalt,N/A,https://www.oreas.com/crm/oreas-24c/,"Ba, Barium (ppm)",(ppm),269,6,264,274,4-Acid Digestion
OREAS24C,basalt,N/A,https://www.oreas.com/crm/oreas-24c/,"Bi, Bismuth (ppm)",(ppm),< 0.10,IND,IND,IND,4-Acid Digestion
OREAS24C,basalt,N/A,https://www.oreas.com/crm/oreas-24c/,"Ca, Calcium (wt.%)",(wt.%),5.86,0.126,5.8,5.92,4-Acid Digestion
OREAS24C,basalt,N/A,https://www.oreas.com/crm/oreas-24c/,"Cd, Cadmium (ppm)",(ppm),< 0.10,IND,IND,IND,4-Acid Digestion
OREAS24C,basalt,N/A,https://www.oreas.com/crm/oreas-24c/,"Co, Cobalt (ppm)",(ppm),42.7,1.71,41.3,44.1,4-Acid Digestion
OREAS24C,basalt,N/A,https://www.oreas.com/crm/oreas-24c/,"Cr, Chromium (ppm)",(ppm),193,9,183,202,4-Acid Digestion
OREAS24C,basalt,N/A,https://www.oreas.com/crm/oreas-24c/,"Cu, Copper (ppm)",(ppm),48.6,1.45,47.3,49.9,4-Acid Digestion
OREAS24C,basalt,N/A,https://www.oreas.com/crm/oreas-24c/,"Fe, Iron (wt.%)",(wt.%),7.62,0.356,7.29,7.95,4-Acid Digestion
OREAS24C,basalt,N/A,https://www.oreas.com/crm/oreas-24c/,"K, Potassium (wt.%)",(wt.%),0.735,0.041,0.683,0.787,4-Acid Digestion
OREAS24C,basalt,N/A,https://www.oreas.com/crm/oreas-24c/,"Mg, Magnesium (wt.%)",(wt.%),3.93,0.101,3.82,4.04,4-Acid Digestion
OREAS24C,basalt,N/A,https://www.oreas.com/crm/oreas-24c/,"Mn, Manganese (wt.%)",(wt.%),0.108,0.006,0.101,0.116,4-Acid Digestion
OREAS24C,basalt,N/A,https://www.oreas.com/crm/oreas-24c/,"Mo, Molybdenum (ppm)",(ppm),2.49,0.203,2.31,2.67,4-Acid Digestion
OREAS24C,basalt,N/A,https://www.oreas.com/crm/oreas-24c/,"Nb, Niobium (ppm)",(ppm),23.8,2.8,20.1,27.5,4-Acid Digestion
OREAS24C,basalt,N/A,https://www.oreas.com/crm/oreas-24c/,"Ni, Nickel (ppm)",(ppm),138,4,135,140,4-Acid Digestion
OREAS24C,basalt,N/A,https://www.oreas.com/crm/oreas-24c/,"P, Phosphorus (wt.%)",(wt.%),0.156,0.006,0.148,0.163,4-Acid Digestion
OREAS24C,basalt,N/A,https://www.oreas.com/crm/oreas-24c/,"Pb, Lead (ppm)",(ppm),2.9,0.245,2.65,3.15,4-Acid Digestion
OREAS24C,basalt,N/A,https://www.oreas.com/crm/oreas-24c/,"Rb, Rubidium (ppm)",(ppm),21.9,0.91,20.8,22.9,4-Acid Digestion
OREAS24C,basalt,N/A,https://www.oreas.com/crm/oreas-24c/,"Sb, Antimony (ppm)",(ppm),< 0.10,IND,IND,IND,4-Acid Digestion
OREAS24C,basalt,N/A,https://www.oreas.com/crm/oreas-24c/,"Sn, Tin (ppm)",(ppm),1.51,0.094,1.44,1.58,4-Acid Digestion
OREAS24C,basalt,N/A,https://www.oreas.com/crm/oreas-24c/,"Sr, Strontium (ppm)",(ppm),442,12,430,453,4-Acid Digestion
OREAS24C,basalt,N/A,https://www.oreas.com/crm/oreas-24c/,"Ti, Titanium (wt.%)",(wt.%),1.06,0.026,1.04,1.07,4-Acid Digestion
OREAS24C,basalt,N/A,https://www.oreas.com/crm/oreas-24c/,"U, Uranium (ppm)",(ppm),0.76,0.039,0.73,0.79,4-Acid Digestion
OREAS24C,basalt,N/A,https://www.oreas.com/crm/oreas-24c/,"V, Vanadium (ppm)",(ppm),161,7,154,167,4-Acid Digestion
OREAS24C,basalt,N/A,https://www.oreas.com/crm/oreas-24c/,"Y, Yttrium (ppm)",(ppm),22.3,0.52,21.9,22.7,4-Acid Digestion
OREAS24C,basalt,N/A,https://www.oreas.com/crm/oreas-24c/,"Zn, Zinc (ppm)",(ppm),108,14,95,122,4-Acid Digestion
OREAS24C,basalt,N/A,https://www.oreas.com/crm/oreas-24c/,"Zr, Zirconium (ppm)",(ppm),143,10,130,156,4-Acid Digestion
OREAS25A,ferruginous soil,N/A,https://www.oreas.com/crm/oreas-25a,"Ba, Barium (ppm)",(ppm),147,5,145,149,4-Acid Digestion
OREAS25A,ferruginous soil,N/A,https://www.oreas.com/crm/oreas-25a,"Bi, Bismuth (ppm)",(ppm),0.35,0.034,0.33,0.37,4-Acid Digestion
OREAS25A,ferruginous soil,N/A,https://www.oreas.com/crm/oreas-25a,"Ca, Calcium (wt.%)",(wt.%),0.309,0.008,0.301,0.317,4-Acid Digestion
OREAS25A,ferruginous soil,N/A,https://www.oreas.com/crm/oreas-25a,"Co, Cobalt (ppm)",(ppm),8.2,0.663,7.58,8.82,4-Acid Digestion
OREAS25A,ferruginous soil,N/A,https://www.oreas.com/crm/oreas-25a,"Cr, Chromium (ppm)",(ppm),115,8,109,120,4-Acid Digestion
OREAS25A,ferruginous soil,N/A,https://www.oreas.com/crm/oreas-25a,"Cu, Copper (ppm)",(ppm),33.9,2.29,32.3,35.5,4-Acid Digestion
OREAS25A,ferruginous soil,N/A,https://www.oreas.com/crm/oreas-25a,"Fe, Iron (wt.%)",(wt.%),6.6,0.157,6.48,6.71,4-Acid Digestion
OREAS25A,ferruginous soil,N/A,https://www.oreas.com/crm/oreas-25a,"K, Potassium (wt.%)",(wt.%),0.482,0.014,0.473,0.492,4-Acid Digestion
OREAS25A,ferruginous soil,N/A,https://www.oreas.com/crm/oreas-25a,"La, Lanthanum (ppm)",(ppm),21.8,2.02,20.2,23.5,4-Acid Digestion
OREAS25A,ferruginous soil,N/A,https://www.oreas.com/crm/oreas-25a,"Mg, Magnesium (wt.%)",(wt.%),0.327,0.017,0.316,0.339,4-Acid Digestion
OREAS25A,ferruginous soil,N/A,https://www.oreas.com/crm/oreas-25a,"Mn, Manganese (wt.%)",(wt.%),0.047,0.002,0.046,0.048,4-Acid Digestion
OREAS25A,ferruginous soil,N/A,https://www.oreas.com/crm/oreas-25a,"Mo, Molybdenum (ppm)",(ppm),2.55,0.158,2.41,2.69,4-Acid Digestion
OREAS25A,ferruginous soil,N/A,https://www.oreas.com/crm/oreas-25a,"Nb, Niobium (ppm)",(ppm),22.4,1.71,20.9,23.9,4-Acid Digestion
OREAS25A,ferruginous soil,N/A,https://www.oreas.com/crm/oreas-25a,"Ni, Nickel (ppm)",(ppm),45.8,4.05,43,48.7,4-Acid Digestion
OREAS25A,ferruginous soil,N/A,https://www.oreas.com/crm/oreas-25a,"P, Phosphorus (wt.%)",(wt.%),0.048,0.002,0.046,0.05,4-Acid Digestion
OREAS25A,ferruginous soil,N/A,https://www.oreas.com/crm/oreas-25a,"Pb, Lead (ppm)",(ppm),25.2,1.87,23.8,26.6,4-Acid Digestion
OREAS25A,ferruginous soil,N/A,https://www.oreas.com/crm/oreas-25a,"Rb, Rubidium (ppm)",(ppm),61,3.9,58,64,4-Acid Digestion
OREAS25A,ferruginous soil,N/A,https://www.oreas.com/crm/oreas-25a,"S, Sulphur (wt.%)",(wt.%),0.051,0.002,0.049,0.053,4-Acid Digestion
OREAS25A,ferruginous soil,N/A,https://www.oreas.com/crm/oreas-25a,"Sb, Antimony (ppm)",(ppm),0.67,0.048,0.65,0.7,4-Acid Digestion
OREAS25A,ferruginous soil,N/A,https://www.oreas.com/crm/oreas-25a,"Sn, Tin (ppm)",(ppm),4.06,0.196,3.94,4.19,4-Acid Digestion
OREAS25A,ferruginous soil,N/A,https://www.oreas.com/crm/oreas-25a,"Sr, Strontium (ppm)",(ppm),48.5,1.99,47,49.9,4-Acid Digestion
OREAS25A,ferruginous soil,N/A,https://www.oreas.com/crm/oreas-25a,"Ti, Titanium (wt.%)",(wt.%),0.977,0.059,0.915,1.038,4-Acid Digestion
OREAS25A,ferruginous soil,N/A,https://www.oreas.com/crm/oreas-25a,"U, Uranium (ppm)",(ppm),2.94,0.088,2.92,2.96,4-Acid Digestion
OREAS25A,ferruginous soil,N/A,https://www.oreas.com/crm/oreas-25a,"V, Vanadium (ppm)",(ppm),157,8,150,165,4-Acid Digestion
OREAS25A,ferruginous soil,N/A,https://www.oreas.com/crm/oreas-25a,"Y, Yttrium (ppm)",(ppm),12.3,2.1,10.5,14,4-Acid Digestion
OREAS25A,ferruginous soil,N/A,https://www.oreas.com/crm/oreas-25a,"Zn, Zinc (ppm)",(ppm),44.4,2.6,42.9,45.9,4-Acid Digestion
OREAS45D,ferruginous soil,Magmatic Ni-Cu-PGE,https://www.oreas.com/crm/oreas-25a,"As, Arsenic (ppm)",(ppm),13.8,0.86,13.5,14.1,4-Acid Digestion
OREAS45D,ferruginous soil,Magmatic Ni-Cu-PGE,https://www.oreas.com/crm/oreas-25a,"Ba, Barium (ppm)",(ppm),183,10,179,187,4-Acid Digestion
OREAS45D,ferruginous soil,Magmatic Ni-Cu-PGE,https://www.oreas.com/crm/oreas-25a,"Bi, Bismuth (ppm)",(ppm),0.31,0.03,0.29,0.33,4-Acid Digestion
OREAS45D,ferruginous soil,Magmatic Ni-Cu-PGE,https://www.oreas.com/crm/oreas-25a,"Ca, Calcium (wt.%)",(wt.%),0.185,0.015,0.179,0.192,4-Acid Digestion
OREAS45D,ferruginous soil,Magmatic Ni-Cu-PGE,https://www.oreas.com/crm/oreas-25a,"Co, Cobalt (ppm)",(ppm),29.5,1.61,28.7,30.2,4-Acid Digestion
OREAS45D,ferruginous soil,Magmatic Ni-Cu-PGE,https://www.oreas.com/crm/oreas-25a,"Cr, Chromium (ppm)",(ppm),549,33,531,566,4-Acid Digestion
OREAS45D,ferruginous soil,Magmatic Ni-Cu-PGE,https://www.oreas.com/crm/oreas-25a,"Cu, Copper (ppm)",(ppm),371,13,366,377,4-Acid Digestion
OREAS45D,ferruginous soil,Magmatic Ni-Cu-PGE,https://www.oreas.com/crm/oreas-25a,"Fe, Iron (wt.%)",(wt.%),14.52,0.782,14.13,14.9,4-Acid Digestion
OREAS45D,ferruginous soil,Magmatic Ni-Cu-PGE,https://www.oreas.com/crm/oreas-25a,"K, Potassium (wt.%)",(wt.%),0.412,0.017,0.405,0.419,4-Acid Digestion
OREAS45D,ferruginous soil,Magmatic Ni-Cu-PGE,https://www.oreas.com/crm/oreas-25a,"La, Lanthanum (ppm)",(ppm),16.9,2.2,15.7,18.1,4-Acid Digestion
OREAS45D,ferruginous soil,Magmatic Ni-Cu-PGE,https://www.oreas.com/crm/oreas-25a,"Mg, Magnesium (wt.%)",(wt.%),0.245,0.016,0.237,0.252,4-Acid Digestion
OREAS45D,ferruginous soil,Magmatic Ni-Cu-PGE,https://www.oreas.com/crm/oreas-25a,"Mn, Manganese (wt.%)",(wt.%),0.049,0.003,0.048,0.051,4-Acid Digestion
OREAS45D,ferruginous soil,Magmatic Ni-Cu-PGE,https://www.oreas.com/crm/oreas-25a,"Mo, Molybdenum (ppm)",(ppm),2.5,0.112,2.45,2.55,4-Acid Digestion
OREAS45D,ferruginous soil,Magmatic Ni-Cu-PGE,https://www.oreas.com/crm/oreas-25a,"Nb, Niobium (ppm)",(ppm),14.5,1.11,14,15.1,4-Acid Digestion
OREAS45D,ferruginous soil,Magmatic Ni-Cu-PGE,https://www.oreas.com/crm/oreas-25a,"Nd, Neodymium (ppm)",(ppm),13.4,1.5,11.9,14.9,4-Acid Digestion
OREAS45D,ferruginous soil,Magmatic Ni-Cu-PGE,https://www.oreas.com/crm/oreas-25a,"Ni, Nickel (ppm)",(ppm),231,13,225,236,4-Acid Digestion
OREAS45D,ferruginous soil,Magmatic Ni-Cu-PGE,https://www.oreas.com/crm/oreas-25a,"P, Phosphorus (wt.%)",(wt.%),0.042,0.003,0.041,0.044,4-Acid Digestion
OREAS45D,ferruginous soil,Magmatic Ni-Cu-PGE,https://www.oreas.com/crm/oreas-25a,"Pb, Lead (ppm)",(ppm),21.8,1.35,21.2,22.3,4-Acid Digestion
OREAS45D,ferruginous soil,Magmatic Ni-Cu-PGE,https://www.oreas.com/crm/oreas-25a,"Pr, Praseodymium (ppm)",(ppm),3.7,0.41,3.17,4.23,4-Acid Digestion
OREAS45D,ferruginous soil,Magmatic Ni-Cu-PGE,https://www.oreas.com/crm/oreas-25a,"Rb, Rubidium (ppm)",(ppm),42.1,2.4,40.8,43.4,4-Acid Digestion
OREAS45D,ferruginous soil,Magmatic Ni-Cu-PGE,https://www.oreas.com/crm/oreas-25a,"S, Sulphur (wt.%)",(wt.%),0.049,0.004,0.047,0.051,4-Acid Digestion
OREAS45D,ferruginous soil,Magmatic Ni-Cu-PGE,https://www.oreas.com/crm/oreas-25a,"Sb, Antimony (ppm)",(ppm),0.82,0.09,0.77,0.87,4-Acid Digestion
OREAS45D,ferruginous soil,Magmatic Ni-Cu-PGE,https://www.oreas.com/crm/oreas-25a,"Sm, Samarium (ppm)",(ppm),2.8,0.33,2.45,3.15,4-Acid Digestion
OREAS45D,ferruginous soil,Magmatic Ni-Cu-PGE,https://www.oreas.com/crm/oreas-25a,"Sn, Tin (ppm)",(ppm),2.78,0.2,2.67,2.88,4-Acid Digestion
OREAS45D,ferruginous soil,Magmatic Ni-Cu-PGE,https://www.oreas.com/crm/oreas-25a,"Sr, Strontium (ppm)",(ppm),31.3,1.83,30.5,32.2,4-Acid Digestion
OREAS45D,ferruginous soil,Magmatic Ni-Cu-PGE,https://www.oreas.com/crm/oreas-25a,"Ti, Titanium (wt.%)",(wt.%),0.773,0.057,0.741,0.806,4-Acid Digestion
OREAS45D,ferruginous soil,Magmatic Ni-Cu-PGE,https://www.oreas.com/crm/oreas-25a,"U, Uranium (ppm)",(ppm),2.63,0.18,2.55,2.72,4-Acid Digestion
OREAS45D,ferruginous soil,Magmatic Ni-Cu-PGE,https://www.oreas.com/crm/oreas-25a,"V, Vanadium (ppm)",(ppm),235,12,229,240,4-Acid Digestion
OREAS45D,ferruginous soil,Magmatic Ni-Cu-PGE,https://www.oreas.com/crm/oreas-25a,"Y, Yttrium (ppm)",(ppm),9.53,1.33,8.86,10.2,4-Acid Digestion
